Edible,Color,Shape,Surface
P,Pale,Polypore,Smooth
E,White,Bellshaped,Fibrous
E,WhiteYellow,Convex,Smooth
E,White,Convex,Smooth
E,Brown,Convex,Fibrous
E,ConvexFlat,Fibrous,
E,White,Convex,Patches
E,WhitePale,Flat,Smooth
E,White,Flat,Smooth
E,White,Convex,Fibrous
E,White,Convex,Smooth
E,WhiteBrown,Convex,Silky
E,PinkBrown,Flat,Fibrous
E,Pale,Flat,FlatScales
P,WhiteBrown,Convex,FlatScales
E,PurpleBrown,Convex,FlatScales
P,White,Flat,Smooth
E,White,Flat,Patches
E,Brown,Convex,Smooth
P,White,Flat,FlatScales
E,White,Flat,Smooth
P,WhiteBrown,Flat,FlatScales
I,WhiteBrown,Flat,Smooth
P,Brown,Convex,FlatScales
E,Brown,Flat,FlatScales
E,Brown,Convex,FlatScales
E,White,Flat,Smooth
P,WhitePale,Flat,Smooth
E,Yellow,Flat,Patches
P,Yellow,Flat,Smooth
E,Brown,Flat,Smooth
E,PaleBrown,Flat,Smooth
E,PaleTan,Convex,FlatScales
E,Pale,Flat,
P,White,Depressed,Smooth
E,Yellow,Depressed,FlatScales
E,Orange,CupFungi,Smooth
E,Purple,CoralFungi,Smooth
P,BrownGray,Knobbed,Smooth
E,Orange,Convex,Smooth
E,Brown,Flat,Patches
I,White,Flat,Patches
P,Orange,Flat,Smooth
P,White,Convex,RaisedScales
I,PaleWhite,Convex,Patches
P,BrownGray,Flat,Patches
I,Yellow,Flat,Patches
E,Brown,Convex,Smooth
P,Yellow,Flat,Smooth
P,Red,Flat,Patches
P,White,Convex,Smooth
E,White,Flat,Fibrous
E,Brown,Convex,Smooth
P,Brown,Flat,Patches
P,Yellow,Convex,Smooth
P,GrayBrown,Flat,Smooth
P,White,Flat,Smooth
P,Brown,Flat,Patches
E,Brown,Flat,Patches
P,WhitePale,Convex,Patches
P,BrownGray,Flat,Smooth
E,Gray,Flat,Smooth
P,White,Convex,Smooth
P,White,Flat,RaisedScales
P,White,Bellshaped,Smooth
P,White,Flat,Fibrous
P,Brown,Depressed,Smooth
E,GrayBrown,Depressed,Smooth
P,OrangeBrown,Convex,RaisedScales
P,Brown,Flat,Smooth
P,YellowBrown,Flat,Fibrous
E,BrownYellow,Convex,Smooth
E,Brown,Convex,RaisedScales
E,BrownYellow,Flat,FlatScales
P,GrayDark,Depressed,Fibrous
E,White,CoralFungi,Smooth
I,Purple,CupFungi,Smooth
P,Purple,CupFungi,Smooth
P,Red,Stinkhorns,
I,Brown,Convex,Powder
P,White,Convex,Silky
I,BrownWhite,Earthstars,
I,White,,
E,Brown,Bolete,Silky
E,Brown,JellyFungi,Silky
E,Pale,Hairy,
E,BrownDark,CupFungi,Hairy
P,DarkBrown,ToothFungi,Hairy
E,Brown,Convex,Silky
I,Brown,Convex,Powder
I,Yellow,CupFungi,Smooth
I,Yellow,CupFungi,
I,Gray,Shellshaped,Velvety
P,Yellow,Bellshaped,Smooth
E,BrownYellow,Funnelshaped,Silky
E,GrayDark,Depressed,Smooth
E,Dark,Bolete,Silky
E,Brown,Bolete,Velvety
E,Pale,Bolete,Silky
E,Gray,Bolete,Silky
E,Red,Bolete,Silky
E,Red,Bolete,Silky
E,Brown,Bolete,Silky
P,Brown,Bolete,Smooth
E,Brown,Bolete,Smooth
E,Brown,Bolete,FlatScales
E,Brown,Bolete,Smooth
E,Brown,Bolete,Smooth
E,Brown,Bolete,Silky
P,RedBrown,Bolete,Silky
E,White,Puffballs,Smooth
E,White,Puffballs,Patches
E,WhiteGray,Puffballs,Smooth
P,Brown,Bolete,Silky
P,Dark,CupFungi,Smooth
E,Brown,Bolete,FlatScales
E,GrayPale,Bolete,Silky
E,PinkRed,Bolete,Silky
P,WhitePale,Corticioid,Velvety
P,Orange,CupFungi,Smooth
I,OrangeYellow,CupFungi,Smooth
I,White,Shellshaped,Velvety
P,Gray,Bolete,FlatScales
I,White,Bolete,Silky
P,Yellow,CoralFungi,Smooth
P,Yellow,JellyFungi,Smooth
E,OrangeYellow,CoralFungi,Smooth
E,White,Convex,Smooth
P,YellowOrange,CupFungi,
I,Red,Stinkhorns,Smooth
E,WhiteTan,Puffballs,FlatScales
E,White,Puffballs,Smooth
E,White,Puffballs,Patches
E,Gray,Depressed,Smooth
E,Yellow,Chanterelles,Smooth
E,Yellow,Funnelshaped,Smooth
E,Dark,Funnelshaped,Smooth
E,OrangeRed,Depressed,Smooth
E,YellowOrange,Funnelshaped,Smooth
E,WhitePale,Depressed,Smooth
E,BrownGray,Depressed,Smooth
E,Brown,Depressed,FlatScales
E,Gray,Flat,Smooth
I,Brown,Polypore,Smooth
E,Pale,Shellshaped,FlatScales
